name,populationServed,ageDistribution,hospitalBeds,ICUBeds,hemisphere,srcPopulation,srcHospitalBeds,srcICUBeds,folder,date,bytes,isdir,datenum,R0,R0_suppression,start_date,suppression_date,min_deviation
JP-Ishikawa.csv,1142965,Japan,340,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:20:52,1767,0,737932.014490741,2.56657767455236,0.748951869096248,01-Apr-2020 00:00:00,12-Apr-2020 00:00:00,0.0502019952981988
JP-Iwate.csv,1240522,Japan,38,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:20:54,1558,0,737932.014513889,0,NaN,NaT,NaT,NaN
JP-Kagawa.csv,961900,Japan,144,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:20:56,1673,0,737932.014537037,2.96771162380551,0.995379443432963,31-Mar-2020 00:00:00,17-Apr-2020 00:00:00,0.278389374079169
JP-Kagoshima.csv,1613969,Japan,441,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:20:57,1631,0,737932.014548611,1.53426336528775,0.99844604293113,26-Mar-2020 00:00:00,23-Apr-2020 00:00:00,0.173437617752276
JP-Kanagawa.csv,9179835,Japan,3385,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:20:59,1885,0,737932.014571759,1.74929867080161,0.694804968359991,19-Mar-2020 00:00:00,19-Apr-2020 00:00:00,0.160004272665393
JP-Kochi.csv,705880,Japan,93,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:01,1752,0,737932.014594907,1.23488324430099,0.999972131217784,11-Mar-2020 00:00:00,23-Apr-2020 00:00:00,0.287603704419342
JP-Kumamoto.csv,1756442,Japan,1023,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.pref.kumamoto.jp/kiji_32898.html,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:04,1698,0,737932.01462963,1.24533554898122,0.983211727526348,11-Mar-2020 00:00:00,27-Apr-2020 00:00:00,0.204162542041972
JP-Kyoto.csv,2591779,Japan,590,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.pref.kyoto.jp/koho/kaiken/documents/20050101.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:06,1831,0,737932.014652778,1.86194728593533,0.670315290596521,17-Mar-2020 00:00:00,12-Apr-2020 00:00:00,0.133812668444458
JP-Mie.csv,1790376,Japan,235,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:07,1708,0,737932.014664352,1.10614970847678,0.999931196378058,12-Mar-2020 00:00:00,06-May-2020 00:00:00,0.287839934821614
JP-Miyagi.csv,2313215,Japan,588,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:09,1696,0,737932.0146875,2.62591587834907,0.967833655975562,30-Mar-2020 00:00:00,13-Apr-2020 00:00:00,0.0679687290740848
JP-Miyazaki.csv,1079727,Japan,256,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:11,1679,0,737932.014710648,1.61926351577908,0.999744747694065,11-Mar-2020 00:00:00,16-Apr-2020 00:00:00,0.277339755900885
JP-Nagano.csv,2063865,Japan,500,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:13,1680,0,737932.014733796,1.7186146858943,0.860138502796046,14-Mar-2020 00:00:00,23-Apr-2020 00:00:00,0.251431790505126
JP-Nagasaki.csv,1339438,Japan,102,None,Northern,http://www.citypopulation.de/Japan-Cities.html,https://www.mhlw.go.jp/content/10900000/000628694.pdf,None,/home/davide-chiuchiu/Documents/SIER_covid/Data/Infection_data_all_japanese_prefectures,21-May-2020 00:21:14,1665,0,737932.01474537,2.15002256351601,0.940697351890351,14-Mar-2020 00:00:00,11-Apr-2020 00:00:00,0.270469355792996
